,,Possession,Ball Progression,Ball Progression,Creativity,Ball Progression,Defending,Possession,Ball Progression,,Production,Ball Progression,Ball Progression,Possession,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting,Creativity,Creativity,Creativity,Passing,Passing,Ball Progression,Creativity,Dribbling,Shooting,Possession,Creativity,Defending,Defending,Defending,Defending,Defending,Defending,Defending,Defending,Defending,Defending,Defending,Defending,Defending,Defending,Defending,Possession,Dribbling,Dribbling,Dribbling,Dribbling,Dribbling,Dribbling,Dribbling,Dribbling,Possession,Possession,Team Impact,Team Impact,Team Impact,Team Impact,Team Impact,Team Impact,Team Impact,Team Impact,Team Impact,Team Impact,Defending,Possession,Creativity,Defending,Defending,Defending,Defending,Production,Production,Production,Ball Progression,Ball Progression,Defending,Creativity,Ball Progression,Ball Progression,Ball Progression,Ball Progression,Ball Progression,Ball Progression,Possession,Production,Production,Ball Progression
Player,Minutes,Box Touches,Progressive Carry Dist,Progressive Passes Rec,Chances Created,Prog Pass Dist,Tkl+Int,Final 3rd Touches,Total Prog Dist,Pos,npxG+xAG per 100 touches,TPrgDist per 100 Touches,PrgActions,Possessions Lost,Shots,Shots On Target,SoT%,G/Sh,G/SoT,Shot Distance,npxG,npxG/Sh,G-xG,np:G-xG,Assists,xAG,xA,Passes Into Final 1/3,Passes Into Box,Crosses Into Box,Shot Creating Actions,SCA - Take On,SCA - Shots,SCA - Drawn Fouls,Goal Creating Actions,Tackles,Tackles Won,Tkls Def 3rd,Tkls Mid 3rd,Tkls Att 3rd,Dribblers Tackled,Dribblers Challenged,Tkl%,Challenges Lost,Total Blocks,Shots Blocked,Passes Blocked,Interceptions,Clearances,Errors,Touches,Take Ons Attempted,Successful Dribbles,Succ%,Tkld While Dribbling,Tkld% While Dribbling,Carries,Carries Into Final Third,Carries Into Box,Miscontrols,Dispossessions,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG On-Off,Fouls,Fouls Drawn,Crosses,Recoveries,Aerials Won,Aerials Lost,Aerial Won%,npG+A,NPG,npxG+xAG,Progressive Carries,Progressive Passes,Defensive Actions,Box Entries,Distance per Progressive Pass,Distance Per Progressive Carry,Progressive Passes Per 100 Touches,Progressive Carries Per 100 Touches,Prog Pass Dist Per 100 touches,Prog Carry Dist Per 100 touches,Possession Losses Per 100 touches,npXG per 100 touches,xAG per 100 touches,Progressive Actions per 100 touches
Moisés Caicedo,1262,0.3,86.4,0.5,0.6,249.6,5.2,11.3,336,MF,0.18,462.81,6.4,7.81,1.07,0.36,33.3,0.27,0.8,23.4,0.05,0.05,0.24,0.24,0.07,0.08,0.07,5.57,0.79,0,2.44,0,0.14,0,0.43,3.14,1.86,1.14,1.36,0.64,1.57,2.5,62.9,0.93,1.43,0.5,0.93,2.07,1.14,0.14,72.6,1.43,0.5,35,0.64,45,44.6,0.79,0,0.64,0.86,2.21,1.29,0.93,0.93,0.26,1.81,1.34,0.47,0.47,-0.23,1.5,1.43,0.14,5.07,0.29,0.64,30.8,0.36,0.29,0.13,0.64,5.86,10.28,0.79,42.59,135.00,8.07,0.88,343.80,119.00,10.76,0.07,0.11,8.95
Enzo Fernández,1239,3,86,4.4,1.5,190.6,1.7,18.7,276.6,MF,0.88,413.50,8.9,15,1.96,0.8,40.7,0.07,0.18,17.7,0.34,0.17,-0.15,-0.18,0.07,0.25,0.19,6.38,1.97,0.08,3.32,0,0.08,0.24,0.47,1.57,0.72,0.87,0.55,0.16,0.71,1.57,45,0.87,0.79,0.08,0.71,0.29,0.47,0,66.9,1.26,0.31,25,0.79,62.5,44.3,1.65,0.08,1.65,1.57,2.03,1.3,0.72,0.73,-0.82,1.81,1.23,0.58,0.58,0.63,0.87,1.74,2.54,4.02,0.87,0.55,61.1,0.36,0.14,0.59,1.65,8.03,5.88,2.13,23.74,52.12,12.00,2.47,284.90,128.55,22.42,0.51,0.37,14.47
Marc Cucurella,1218,2,75.9,3,1.3,216.8,3.5,14.6,292.7,DF,0.26,440.20,5.8,7.72,0.81,0.07,9.1,0,0,16.7,0.04,0.05,-0.04,-0.04,0.15,0.14,0.13,4.08,0.69,0.08,2.32,0.08,0.15,0,0.31,2.54,1.7,1.54,0.54,0.46,1.23,2.08,59.3,0.85,1.85,0.54,1.31,1.11,2.85,0.15,66.5,0.23,0.08,33.3,0.08,33.3,34.5,0.77,0.15,0.92,0.08,1.85,1.26,0.59,0.59,-1.43,1.71,1.3,0.4,0.4,-0.6,1.78,1.19,0.74,3.69,1.23,1.23,50,0.15,0,0.17,1.62,4.38,7.34,0.92,49.50,46.85,6.59,2.44,326.00,114.10,11.61,0.06,0.21,9.03
Trevoh Chalobah,1155,0.5,120.3,0.1,0.2,304.2,1.9,4.8,424.5,DF,0.08,491.90,5,6.96,0.7,0.23,33.3,0.22,0.67,15.7,0.06,0.08,0.11,0.11,0,0.01,0.06,5.51,0.42,0.08,1.1,0.08,0.17,0,0.08,1.02,0.63,0.17,0.85,0,0.76,1.02,75,0.25,0.68,0.25,0.42,0.94,6.02,0,86.3,0.68,0.34,50,0.17,25,59.6,0.76,0,0.34,0.08,1.88,0.86,1.02,1.01,0.53,1.79,1.02,0.77,0.77,1.34,0.63,1.02,0.31,3.64,2.29,1.44,61.4,0.16,0.16,0.07,0.93,4.41,5.6,0.5,68.98,129.35,5.11,1.08,352.50,139.40,8.06,0.07,0.01,6.19
João Pedro,1119,3.5,61.6,5.6,1.3,52.4,1.1,17,114,FW,1.29,289.34,5.5,12.61,1.53,0.81,52.6,0.21,0.4,14.9,0.31,0.2,0.02,0.02,0.24,0.2,0.06,2.1,0.81,0,2.42,0.08,0.24,0,0.32,0.89,0.65,0.16,0.48,0.24,0.24,0.4,60,0.16,0.73,0.24,0.48,0.24,0.81,0,39.4,3.15,0.97,30.8,1.77,56.4,25.1,1.45,0.81,2.9,2.1,1.77,1.13,0.65,0.64,-1.3,1.68,1.29,0.38,0.38,-0.61,1.21,2.34,0.65,2.5,1.85,2.26,45.1,0.56,0.32,0.51,2.34,3.23,3.63,1.62,16.22,26.32,8.20,5.94,133.00,156.30,32.01,0.79,0.50,14.14
Pedro Neto,1022,3.3,134.4,8.8,1.8,108.1,1.1,29.1,242.5,FW,0.80,521.50,7.6,15.59,1.67,0.53,31.6,0.16,0.5,16.9,0.2,0.12,0.07,0.07,0.18,0.17,0.22,1,1.64,0.55,3.47,0.18,0.27,0.18,0.37,0.73,0.35,0.09,0.27,0.36,0.36,1.45,25,1.09,0.45,0,0.45,0.35,0.27,0,46.5,4.64,1.91,41.2,2.09,45.1,31,2.27,1.18,2.73,0.91,1.84,0.88,0.96,0.97,0.26,1.62,1.08,0.54,0.54,0.2,0.26,1.14,6.14,3.18,0.36,0.45,44.4,0.44,0.26,0.37,4.82,3,4.26,3.37,36.03,27.88,6.45,10.37,232.50,289.00,33.53,0.40,0.37,16.82
Reece James,876,0.5,98.8,2.3,1.4,335.1,4,20.1,433.9,DF,0.29,520.30,7.8,14,1.03,0.52,50,0.1,0.2,25.5,0.05,0.05,0.05,0.05,0.21,0.19,0.15,6.19,1.03,0.21,2.47,0.1,0,0.1,0.41,1.96,1.34,1.13,0.52,0.31,1.24,1.96,63.2,0.72,0.72,0.31,0.41,2.06,1.75,0.21,83.4,1.34,0.52,38.5,0.62,46.2,50,1.24,0.21,0.93,0.82,1.44,1.44,0,0,-2.47,1.49,1.7,-0.21,-0.2,-1.96,1.44,1.24,4.64,4.95,1.44,1.03,58.3,0.31,0.1,0.24,1.03,6.8,8.97,1.45,49.30,95.92,8.20,1.24,401.80,118.50,16.79,0.06,0.23,9.44
Malo Gusto,871,1.3,66.1,3.9,0.7,137.8,3.5,15.7,203.9,DF,0.30,316.10,4.5,14.18,0.62,0.1,16.7,0.17,1,21.5,0.1,0.16,0.03,0.03,0.21,0.1,0.07,3.38,0.63,0.25,3.37,0,0.25,0.13,0.5,2,1.24,1,0.5,0.5,0.88,1.75,50,0.88,0.63,0.13,0.5,1.86,1,0.25,64.5,1,0.75,75,0.25,25,39,0.88,0,2.38,0.75,2.47,1.03,1.44,1.45,1.31,1.85,1.3,0.55,0.55,0.13,1.13,1.03,2.47,5.63,0.5,0.5,50,0.31,0.1,0.2,1.5,4,9.49,0.88,34.45,44.10,6.20,2.30,213.60,102.50,21.98,0.20,0.20,8.50
Tosin Adarabioyo,696,0.5,105.8,0,0.4,432.2,2.7,1.8,538,DF,0.03,583.51,3.4,9.31,0.26,0,0,0,,6.3,0,0.04,0,0,0,0.03,0.03,4.33,0.15,0,1.04,0,0,0,0,1.64,0.91,0.6,1.04,0,0.3,0.45,66.7,0.15,1.04,0.9,0.15,1.3,4.78,0.15,92.2,0,0,,0,,51.5,0.45,0,0.45,0,2.86,1.95,0.91,0.91,0.04,1.88,1.54,0.34,0.35,-0.25,0.65,0.13,0,3.43,3.28,2.24,59.5,0,0,0.03,0.45,3.43,6.37,0.15,126.01,235.11,3.72,0.49,468.80,114.80,10.10,0.00,0.03,4.21
Estêvão Willian,662,7.2,130.9,9.4,1.6,77.4,2.3,28.8,208.3,FW,1.57,389.30,6.2,15.31,3.65,1.22,33.3,0.11,0.33,15.7,0.51,0.15,-0.16,-0.19,0.14,0.33,0.33,1.75,1.11,0.48,4.11,1.27,0.16,0.16,0.63,2.06,0.95,0.95,0.79,0.32,0.79,2.38,33.3,1.59,0.79,0,0.79,0.54,0.48,0,53.5,7.62,3.65,47.9,3.81,50,34,2.86,3.81,1.59,1.9,2.97,0.81,2.16,2.18,2.28,2.65,0.87,1.78,1.77,2.23,2.03,0.27,3.92,3.97,0.16,0.79,16.7,0.68,0.41,0.84,4.92,2.38,6.57,5.4,32.52,26.61,4.45,9.20,144.70,244.70,28.62,0.95,0.62,13.65
Jamie Gittens,578,4,100.7,7.8,1.7,43.8,1.4,20.1,144.5,FW,0.93,353.30,5.8,10.8,2.19,0.63,28.6,0.07,0.25,18.8,0.17,0.08,-0.17,-0.17,0.31,0.19,0.23,0.21,1.49,0.43,4.73,0.43,0.43,0,0.43,1.49,0.78,0.43,0.85,0.21,0.64,1.06,60,0.43,0.85,0.21,0.64,0.31,0.64,0,40.9,5.11,2.13,41.7,2.55,50,27.4,2.55,3.19,2.13,1.7,2.5,1.41,1.09,1.09,0.33,1.98,1.55,0.4,0.41,-0.11,1.56,0.63,2.66,2.55,0.21,0.85,20,0.47,0.16,0.38,5.96,1.91,4.35,5.11,22.93,16.90,4.67,14.57,107.10,246.20,26.40,0.42,0.46,19.24
Alejandro Garnacho,529,7.3,159.9,13.1,1.2,49,1.4,31,208.9,FW,1.33,414.50,8.7,13.83,2.71,1.36,50,0.13,0.25,16.6,0.23,0.08,0.15,0.15,0.34,0.42,0.35,0.77,0.96,0.38,2.68,0.19,0,0.38,0.57,1.15,0.85,0,0.77,0.38,0.77,1.15,66.7,0.38,0.96,0,0.96,0.34,0.38,0,50.4,3.85,1.15,30,1.73,45,37.5,3.27,3.46,3.27,0.77,1.86,0.68,1.19,1.19,0.47,1.52,0.96,0.56,0.55,0.11,0.51,2.2,3.9,3.08,0.19,0.58,25,0.68,0.34,0.67,8.27,1.54,4.57,4.8,31.82,19.33,3.06,16.41,97.22,317.30,27.44,0.46,0.83,19.47
Jorrel Hato,528,0.5,56.9,0.2,0,133.6,2,6,190.5,DF,0.00,265.30,2.7,9.7,0.34,0,0,0,,20.9,0,0.05,0,0,0.17,0,0.03,5.38,0,0,1.81,0,0,0,0,1.54,0.51,0.51,0.77,0.26,0.77,1.79,42.9,1.03,1.03,0.51,0.51,1.02,2.05,0.51,71.8,0.77,0.77,100,0,0,49.2,1.28,0,1.79,0.77,2.54,1.53,1.02,1.02,0.21,1.97,1.38,0.59,0.61,0.16,0.85,0.34,0,3.85,1.54,1.03,60,0.17,0,0,1.03,3.08,6.41,0,43.38,55.24,4.29,1.43,186.10,79.20,13.50,0.00,0.00,5.72
Andrey Santos,526,2.1,59.7,2.4,0.9,109.3,2.4,12,169,MF,0.47,247.80,4,11.05,1.38,0.34,25,0.13,0.5,14.2,0.24,0.15,-0.24,-0.24,0.52,0.08,0.05,5.53,0.53,0,2.34,0,0,0,0.26,3.16,1.38,0.26,1.84,1.05,1.58,3.16,50,1.58,1.05,0,1.05,0.34,0.79,0,68.2,0.79,0.26,33.3,0.26,33.3,41.6,1.32,0,1.32,1.05,1.72,1.38,0.34,0.34,-0.82,1.21,1.16,0.05,0.04,-0.6,1.55,2.07,0.17,4.47,0.79,0.53,60,0.69,0.17,0.32,1.32,4.74,7.97,0.53,23.06,45.23,6.95,1.94,160.30,87.50,16.20,0.35,0.12,8.89
Joshua Acheampong,491,0.7,134.7,0.4,0,228.2,2.4,9,362.9,DF,0.15,416.60,4.5,7.18,0.73,0.55,75,0.25,0.33,12.3,0.13,0.16,0.09,0.09,0,0,0.02,3.56,0,0,0.22,0,0,0,0,1.33,1.27,0.44,0.67,0.22,0.89,1.11,80,0.22,1.56,0.44,1.11,1.27,3.33,0.89,87.1,2.22,1.78,80,0.22,10,63.8,1.56,0,0,0.67,1.45,1.45,0,0,-1.3,1.2,1.71,-0.51,-0.51,-1.42,0.55,0.91,0,3.78,2.44,1.33,64.7,0.18,0.18,0.13,0.89,4.67,6.38,0,48.87,151.35,5.36,1.02,262.00,154.60,8.24,0.15,0.00,6.38
Wesley Fofana,488,0.6,133,0.2,0.2,239.2,3.1,3.9,372.2,DF,0.17,460.10,3.9,8.16,0.37,0,0,0,,5.1,0.05,0.1,-0.05,-0.05,0.19,0.09,0.05,7.27,0,0,1.13,0,0,0,0.23,0.91,0.56,0.45,0.45,0,0.68,0.91,75,0.23,1.14,0.23,0.91,2.41,3.41,0,80.9,1.36,0.68,50,0.23,16.7,53.2,0.91,0,0.45,0.23,2.04,0.93,1.11,1.11,0.33,2.3,0.86,1.43,1.43,1.34,1.67,0.74,0,5,3.86,1.59,70.8,0.19,0,0.14,1.59,3.18,8.32,0,75.22,83.65,3.93,1.97,295.70,164.40,10.09,0.06,0.11,5.9
Tyrique George,439,1.8,35.7,5.3,0.8,39.6,0.6,12.9,75.3,FW,0.86,239.00,3.1,,2.04,1.22,60,0.3,0.5,15,0.18,0.09,0.12,0.12,0.2,0.09,0.09,1.82,1.52,0.61,2.75,0,0.61,0,0.61,0.91,0.61,0.3,0.61,0,0.3,0.3,100,0,0.3,0,0.3,0,1.21,0,31.5,1.52,0.3,20,1.21,80,20.6,1.21,0.3,2.12,1.82,2.65,1.43,1.22,1.23,0.49,1.61,1.06,0.55,0.54,0.07,1.84,0.2,0.82,0.91,0.61,0.3,66.7,0.82,0.61,0.27,1.52,3.03,1.82,2.43,13.07,23.49,9.62,4.83,125.70,113.30,,0.57,0.29,14.45
Facundo Buonanotte,381,2.6,33.8,3.8,0.5,60,1.9,14.4,93.8,MF,0.32,176.98,3.3,,1.43,0.71,50,0.17,0.33,19.6,0.09,0.06,-0.09,-0.09,0,0.13,0.13,1.74,1.3,0,2.6,0,0,0.43,0.43,1.74,1.19,0,0.87,0.87,0.43,0.87,50,0.43,0.87,0,0.87,0.95,0.43,0,53,2.61,1.3,50,1.3,50,33.9,3.04,0.87,3.48,0.87,2.62,1.19,1.43,1.42,0.71,2,1.09,0.96,0.94,0.53,2.14,2.14,0.48,4.78,1.3,0.87,60,0.24,0.24,0.17,2.17,3.91,7.47,2.17,15.35,15.58,7.38,4.09,113.21,63.77,,0.17,0.25,11.47
Roméo Lavia,240,0.4,70.9,0.7,0.4,179.6,3.4,12.7,250.5,MF,0.00,914.20,7.2,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.26,0,0,27.4,0,0,,0,,15.3,0,0,0,0,3.08,1.79,1.28,1.27,0.51,2.11,1.47,0.63,0.61,0.14,0,0,0,1.05,0.53,0,100,0,0,0,0,0,1.31,0,0.00,0.00,0.00,0.00,655.50,258.80,,0.00,0.00,0.00
Cole Palmer,235,5,127.5,6.1,1.1,116,1.5,22.2,243.5,MF,0.07,350.40,11.9,,0.37,0,0,0,,26.4,0,0.04,0,0,0,0,0.15,6.5,0,0,2.5,0,0,0,1,2,1.48,0,0.5,1.5,1,1,100,0,1,0,1,1.85,1,0.5,69.5,1,0.5,50,0.5,50,50.5,1.5,0,2,1.5,3.33,1.85,1.48,1.5,0.73,2.8,2,0.8,0.81,0.37,1.85,1.85,0.37,4.5,0.5,0,100,0,0,0.05,0.5,9,8.35,0,12.89,255.00,12.95,0.70,166.91,183.50,,0.00,0.00,13.65
Liam Delap,225,3.6,29.2,4.8,0.4,27.6,0,10.4,56.8,FW,1.29,135.60,2.4,,4.23,1.15,27.3,0.18,0.67,20.5,0.42,0.1,0.35,0.35,0,0.15,0.23,2.69,1.54,0,4.98,0,0.77,0.38,0.77,1.15,0.77,0.38,0.77,0,0.38,1.15,33.3,0.77,0.77,0,0.77,0.38,0.38,0,41.9,3.08,1.15,37.5,1.15,37.5,27.3,3.08,1.54,1.54,1.15,1.15,1.92,-0.77,-0.77,-1.98,1.23,1.81,-0.58,-0.58,-1.29,0.38,0.77,3.08,2.69,0,0,,0.77,0.77,0.54,5.38,6.54,4.22,3.08,4.22,5.43,15.61,12.84,65.90,69.70,,1.00,0.36,28.45
Marc Guiu,195,4.6,13.4,3.7,0,7.8,0,10.2,21.2,FW,1.12,103.40,1,,2.4,1.2,50,0,0,16.7,0.18,0.06,-0.18,-0.18,0,0.05,0.05,0.45,0.45,0,0.9,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.91,0.45,20.5,0.45,0,0,0,0,15,0.45,0.45,1.36,1.36,2.8,0.8,2,2,1.31,2.41,0.32,2.09,2.06,1.84,1.2,1.2,0.4,1.82,0.91,1.82,33.3,0,0,0.23,1.36,1.36,1.82,0.9,5.74,9.85,6.63,6.63,38.00,65.40,,0.88,0.24,13.26
Benoît Badiashile,146,0,160.9,0,0,571.4,4.3,3.7,732.3,DF,5.29,4724.50,5.5,,4.55,1.36,30,0.1,0.33,10.4,0.82,0.18,-0.36,-0.36,0,0,0,0.45,0,0,1.38,0,0.45,0.45,0.46,0,0,0,0,0,0,0.91,0,0.91,0,0,0,0,0.45,0,15.5,1.36,0,0,0.91,66.7,7.27,0.45,0,2.73,0.45,4.09,0.91,3.18,3.23,2.76,2.77,2,0.77,0.8,0.37,2.73,0.45,0,0.45,0.45,1.82,20,0.45,0.45,0.82,0.45,0.45,0.45,0,1269.78,357.56,2.90,2.90,3686.50,1038.10,,5.29,0.00,5.80